Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation
M296,yes,yes,2,flat,backward,log,distance,graph
M297,yes,yes,2,flat,backward,log,cos,space
M298,yes,yes,2,flat,backward,log,cos,graph
M299,yes,yes,2,flat,backward,log,corr,space
M300,yes,yes,2,flat,backward,log,corr,graph
M301,yes,yes,2,flat,backward,log,r_distance,space
M302,yes,yes,2,flat,backward,log,r_distance,graph
M303,yes,yes,2,flat,backward,log,r_cos,space
M304,yes,yes,2,flat,backward,log,r_cos,graph
M305,yes,yes,2,flat,backward,log,r_corr,space
M306,yes,yes,2,flat,backward,log,r_corr,graph
M307,yes,yes,2,flat,backward,log,cooc,space
M308,yes,yes,2,flat,backward,log,cooc,graph
M309,yes,yes,2,flat,backward,ppmi,distance,space
M310,yes,yes,2,flat,backward,ppmi,distance,graph
M311,yes,yes,2,flat,backward,ppmi,cos,space
M312,yes,yes,2,flat,backward,ppmi,cos,graph
M313,yes,yes,2,flat,backward,ppmi,corr,space
M314,yes,yes,2,flat,backward,ppmi,corr,graph
M315,yes,yes,2,flat,backward,ppmi,r_distance,space
M316,yes,yes,2,flat,backward,ppmi,r_distance,graph
M317,yes,yes,2,flat,backward,ppmi,r_cos,space
M318,yes,yes,2,flat,backward,ppmi,r_cos,graph
M319,yes,yes,2,flat,backward,ppmi,r_corr,space
M320,yes,yes,2,flat,backward,ppmi,r_corr,graph
M321,yes,yes,2,flat,backward,ppmi,cooc,space
M322,yes,yes,2,flat,backward,ppmi,cooc,graph
M323,yes,yes,2,flat,backward,non,distance,space
M324,yes,yes,2,flat,backward,non,distance,graph
M325,yes,yes,2,flat,backward,non,cos,space
M326,yes,yes,2,flat,backward,non,cos,graph
M327,yes,yes,2,flat,backward,non,corr,space
M328,yes,yes,2,flat,backward,non,corr,graph
M329,yes,yes,2,flat,backward,non,r_distance,space
M330,yes,yes,2,flat,backward,non,r_distance,graph
M331,yes,yes,2,flat,backward,non,r_cos,space
M332,yes,yes,2,flat,backward,non,r_cos,graph
M333,yes,yes,2,flat,backward,non,r_corr,space
M334,yes,yes,2,flat,backward,non,r_corr,graph
M335,yes,yes,2,flat,backward,non,cooc,space
M336,yes,yes,2,flat,backward,non,cooc,graph
M337,yes,yes,2,flat,summed,log,distance,space
M338,yes,yes,2,flat,summed,log,distance,graph
