,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,mean,std_error
199,M200,yes,yes,1,linear,backward,non,cos,graph,0.6908940049957338,0.016863771113456123
200,M201,yes,yes,1,linear,backward,non,corr,space,-0.7087058353404514,0.0033847372911628305
201,M202,yes,yes,1,linear,backward,non,corr,graph,-0.72301127618782,0.00980190341653695
202,M203,yes,yes,1,linear,backward,non,r_distance,space,0.7130395511834341,0.011369094801707273
203,M204,yes,yes,1,linear,backward,non,r_distance,graph,0.5060004347658998,0.00831249092678316
204,M205,yes,yes,1,linear,backward,non,r_cos,space,0.7020742395142803,0.009086978625010202
205,M206,yes,yes,1,linear,backward,non,r_cos,graph,0.4992121349383337,0.013813788043435249
206,M207,yes,yes,1,linear,backward,non,r_corr,space,0.43063026546810923,0.27982776285798755
207,M208,yes,yes,1,linear,backward,non,r_corr,graph,0.42529179726084143,0.08396208839101342
208,M209,yes,yes,1,linear,backward,non,cooc,space,0.49950448969314465,0.007473453320315087
209,M210,yes,yes,1,linear,backward,non,cooc,graph,0.7015919377617945,0.011251673217820748
210,M211,yes,yes,1,linear,summed,log,distance,space,0.7182218237877395,0.010663921946379745
211,M212,yes,yes,1,linear,summed,log,distance,graph,0.7570571610919774,0.008426237347966959
212,M213,yes,yes,1,linear,summed,log,cos,space,0.7558827071067171,0.002511757103677287
213,M214,yes,yes,1,linear,summed,log,cos,graph,0.6494836439369729,0.002234237517487392
214,M215,yes,yes,1,linear,summed,log,corr,space,-0.7182206689681785,0.010664205041070672
215,M216,yes,yes,1,linear,summed,log,corr,graph,-0.4850952842990256,0.034362232627054665
216,M217,yes,yes,1,linear,summed,log,r_distance,space,0.7174567715601641,0.010378995048675
217,M218,yes,yes,1,linear,summed,log,r_distance,graph,0.7643348365124322,0.010017600342464924
218,M219,yes,yes,1,linear,summed,log,r_cos,space,-0.7041185032287383,0.012922445651786605
219,M220,yes,yes,1,linear,summed,log,r_cos,graph,-0.5494934274442798,0.01605094356222067
220,M221,yes,yes,1,linear,summed,log,r_corr,space,0.3607623302488186,0.42040362073584053
221,M222,yes,yes,1,linear,summed,log,r_corr,graph,0.19402492873044194,0.46933410700346734
222,M223,yes,yes,1,linear,summed,log,cooc,space,0.752613665501552,0.014056629149945663
223,M224,yes,yes,1,linear,summed,log,cooc,graph,0.8587490660268328,0.00713056563135597
224,M225,yes,yes,1,linear,summed,ppmi,distance,space,0.7290166400137228,0.01169196400112367
225,M226,yes,yes,1,linear,summed,ppmi,distance,graph,0.3355971446455675,0.008513866591239323
226,M227,yes,yes,1,linear,summed,ppmi,cos,space,0.7558827071067171,0.002511757103677287
227,M228,yes,yes,1,linear,summed,ppmi,cos,graph,0.6480571085133154,0.002391502216420035
228,M229,yes,yes,1,linear,summed,ppmi,corr,space,-0.6895452465653227,0.004342921715388954
229,M230,yes,yes,1,linear,summed,ppmi,corr,graph,-0.20059034803379533,0.12326307018075684
230,M231,yes,yes,1,linear,summed,ppmi,r_distance,space,0.739149812293125,0.013620572776061964
231,M232,yes,yes,1,linear,summed,ppmi,r_distance,graph,0.40967776008316986,0.023316680498869233
232,M233,yes,yes,1,linear,summed,ppmi,r_cos,space,0.5270066201647465,0.0375530972847383
233,M234,yes,yes,1,linear,summed,ppmi,r_cos,graph,0.2742714716459793,0.027156984006286043
