,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,run,performance
141,M142,yes,yes,1,linear,forward,ppmi,distance,graph,R1,0.6403846860679161
142,M143,yes,yes,1,linear,forward,ppmi,cos,space,R1,0.7555254794687231
143,M144,yes,yes,1,linear,forward,ppmi,cos,graph,R1,0.7234858499528254
144,M145,yes,yes,1,linear,forward,ppmi,corr,space,R1,-0.7144385287660202
145,M146,yes,yes,1,linear,forward,ppmi,corr,graph,R1,-0.35311201803002473
146,M147,yes,yes,1,linear,forward,ppmi,r_distance,space,R1,0.7522318156405593
147,M148,yes,yes,1,linear,forward,ppmi,r_distance,graph,R1,0.6822596364161665
148,M149,yes,yes,1,linear,forward,ppmi,r_cos,space,R1,0.19471344492866985
149,M150,yes,yes,1,linear,forward,ppmi,r_cos,graph,R1,0.16710426851754223
150,M151,yes,yes,1,linear,forward,ppmi,r_corr,space,R1,0.06982285339206351
151,M152,yes,yes,1,linear,forward,ppmi,r_corr,graph,R1,0.24883872144072064
152,M153,yes,yes,1,linear,forward,ppmi,cooc,space,R1,0.584078369467287
153,M154,yes,yes,1,linear,forward,ppmi,cooc,graph,R1,0.8153580330910927
154,M155,yes,yes,1,linear,forward,non,distance,space,R1,0.6917682014439346
155,M156,yes,yes,1,linear,forward,non,distance,graph,R1,0.6540128354848148
156,M157,yes,yes,1,linear,forward,non,cos,space,R1,0.7555254794687231
157,M158,yes,yes,1,linear,forward,non,cos,graph,R1,0.7234858499528254
158,M159,yes,yes,1,linear,forward,non,corr,space,R1,-0.7338280143803472
159,M160,yes,yes,1,linear,forward,non,corr,graph,R1,-0.25875439329817596
160,M161,yes,yes,1,linear,forward,non,r_distance,space,R1,0.6898884665209712
161,M162,yes,yes,1,linear,forward,non,r_distance,graph,R1,0.6576292888462306
162,M163,yes,yes,1,linear,forward,non,r_cos,space,R1,-0.017735795921695188
163,M164,yes,yes,1,linear,forward,non,r_cos,graph,R1,0.2094701399906839
164,M165,yes,yes,1,linear,forward,non,r_corr,space,R1,-0.6748552678993146
165,M166,yes,yes,1,linear,forward,non,r_corr,graph,R1,0.276451005722324
166,M167,yes,yes,1,linear,forward,non,cooc,space,R1,0.6004368203752278
167,M168,yes,yes,1,linear,forward,non,cooc,graph,R1,0.6926545785249005
168,M169,yes,yes,1,linear,backward,log,distance,space,R1,0.7284071837418918
169,M170,yes,yes,1,linear,backward,log,distance,graph,R1,0.7469835186429113
170,M171,yes,yes,1,linear,backward,log,cos,space,R1,0.7313631460803496
171,M172,yes,yes,1,linear,backward,log,cos,graph,R1,0.6209207682675633
172,M173,yes,yes,1,linear,backward,log,corr,space,R1,-0.728776679034199
173,M174,yes,yes,1,linear,backward,log,corr,graph,R1,-0.7575645476097718
174,M175,yes,yes,1,linear,backward,log,r_distance,space,R1,0.7254190329727321
175,M176,yes,yes,1,linear,backward,log,r_distance,graph,R1,0.5255482420700068
176,M177,yes,yes,1,linear,backward,log,r_cos,space,R1,-0.466335345249559
177,M178,yes,yes,1,linear,backward,log,r_cos,graph,R1,-0.1544705467308992
178,M179,yes,yes,1,linear,backward,log,r_corr,space,R1,0.7319637652144415
179,M180,yes,yes,1,linear,backward,log,r_corr,graph,R1,0.6969826102747839
180,M181,yes,yes,1,linear,backward,log,cooc,space,R1,0.495252378155846
181,M182,yes,yes,1,linear,backward,log,cooc,graph,R1,0.6919092561647492
182,M183,yes,yes,1,linear,backward,ppmi,distance,space,R1,0.7618729002165726
183,M184,yes,yes,1,linear,backward,ppmi,distance,graph,R1,0.3479487841312806
184,M185,yes,yes,1,linear,backward,ppmi,cos,space,R1,0.7523288221555785
185,M186,yes,yes,1,linear,backward,ppmi,cos,graph,R1,0.6672476795228826
186,M187,yes,yes,1,linear,backward,ppmi,corr,space,R1,-0.08916781426808688
187,M188,yes,yes,1,linear,backward,ppmi,corr,graph,R1,0.01833971604207906
188,M189,yes,yes,1,linear,backward,ppmi,r_distance,space,R1,0.7557252092035032
189,M190,yes,yes,1,linear,backward,ppmi,r_distance,graph,R1,0.35622223101048334
190,M191,yes,yes,1,linear,backward,ppmi,r_cos,space,R1,0.30592359016115667
191,M192,yes,yes,1,linear,backward,ppmi,r_cos,graph,R1,0.2743029289586357
192,M193,yes,yes,1,linear,backward,ppmi,r_corr,space,R1,0.5753901002334132
193,M194,yes,yes,1,linear,backward,ppmi,r_corr,graph,R1,0.3598746765299737
194,M195,yes,yes,1,linear,backward,ppmi,cooc,space,R1,0.4898969836722969
195,M196,yes,yes,1,linear,backward,ppmi,cooc,graph,R1,0.817251758479486
196,M197,yes,yes,1,linear,backward,non,distance,space,R1,0.7040733665695336
197,M198,yes,yes,1,linear,backward,non,distance,graph,R1,0.6845594979928299
198,M199,yes,yes,1,linear,backward,non,cos,space,R1,0.7170741376389363
199,M200,yes,yes,1,linear,backward,non,cos,graph,R1,0.6964832992350964
200,M201,yes,yes,1,linear,backward,non,corr,space,R1,-0.7048152492118842
201,M202,yes,yes,1,linear,backward,non,corr,graph,R1,-0.7261671005531027
202,M203,yes,yes,1,linear,backward,non,r_distance,space,R1,0.7160353747998852
203,M204,yes,yes,1,linear,backward,non,r_distance,graph,R1,0.5150984631463048
204,M205,yes,yes,1,linear,backward,non,r_cos,space,R1,0.6856731159354746
205,M206,yes,yes,1,linear,backward,non,r_cos,graph,R1,0.5134060585490889
206,M207,yes,yes,1,linear,backward,non,r_corr,space,R1,0.15499959380270845
207,M208,yes,yes,1,linear,backward,non,r_corr,graph,R1,0.35201937988941445
208,M209,yes,yes,1,linear,backward,non,cooc,space,R1,0.5008035381052667
209,M210,yes,yes,1,linear,backward,non,cooc,graph,R1,0.6822170947347443
210,M211,yes,yes,1,linear,summed,log,distance,space,R1,0.7115965461300151
211,M212,yes,yes,1,linear,summed,log,distance,graph,R1,0.7578093628698876
212,M213,yes,yes,1,linear,summed,log,cos,space,R1,0.7555254794687231
213,M214,yes,yes,1,linear,summed,log,cos,graph,R1,0.6517686793531947
214,M215,yes,yes,1,linear,summed,log,corr,space,R1,-0.7115965461300151
215,M216,yes,yes,1,linear,summed,log,corr,graph,R1,-0.4699266758688088
216,M217,yes,yes,1,linear,summed,log,r_distance,space,R1,0.7098885398149463
217,M218,yes,yes,1,linear,summed,log,r_distance,graph,R1,0.7610133509615261
218,M219,yes,yes,1,linear,summed,log,r_cos,space,R1,-0.7085975837238603
219,M220,yes,yes,1,linear,summed,log,r_cos,graph,R1,-0.5557400014950324
220,M221,yes,yes,1,linear,summed,log,r_corr,space,R1,-0.16026781906485385
221,M222,yes,yes,1,linear,summed,log,r_corr,graph,R1,-0.3573770393469248
222,M223,yes,yes,1,linear,summed,log,cooc,space,R1,0.7667842109845189
223,M224,yes,yes,1,linear,summed,log,cooc,graph,R1,0.8573875339891057
224,M225,yes,yes,1,linear,summed,ppmi,distance,space,R1,0.7424036670095718
225,M226,yes,yes,1,linear,summed,ppmi,distance,graph,R1,0.33913648054882956
226,M227,yes,yes,1,linear,summed,ppmi,cos,space,R1,0.7555254794687231
227,M228,yes,yes,1,linear,summed,ppmi,cos,graph,R1,0.6505855517587208
